Area,Conference,Year,Sequence,Accepted,Submitted
Arch,HPCA,1995,1,36,190
Arch,HPCA,1996,1,29,131
Arch,HPCA,1997,1,30,152
Arch,HPCA,1998,1,26,141
Arch,HPCA,1999,1,37,117
Arch,HPCA,2000,1,35,163
Arch,HPCA,2001,1,26,110
Arch,HPCA,2002,1,26,130
Arch,HPCA,2003,1,31,141
Arch,HPCA,2004,1,27,153
Arch,HPCA,2005,1,28,181
Arch,HPCA,2006,1,22,172
Arch,HPCA,2007,1,28,174
Arch,HPCA,2008,1,31,161
Arch,HPCA,2009,1,35,184
Arch,HPCA,2010,1,32,175
Arch,HPCA,2011,1,42,227
Arch,HPCA,2012,1,36,213
Arch,HPCA,2013,1,51,249
Arch,HPCA,2014,1,55,215
Arch,HPCA,2015,1,51,228
Arch,HPCA,2016,1,53,240
Arch,HPCA,2017,1,50,224
Arch,HPCA,2018,1,54,260
Arch,HPCA,2019,1,46,223
Arch,HPCA,2020,1,48,235
Arch,HPCA,2021,1,61,224
Arch,HPCA,2022,1,80,262
Arch,HPCA,2023,1,91,360
Arch,ISCA,2001,1,24,163
Arch,ISCA,2002,1,27,180
Arch,ISCA,2003,1,36,184
Arch,ISCA,2004,1,31,217
Arch,ISCA,2005,1,45,194
Arch,ISCA,2006,1,30,234
Arch,ISCA,2007,1,46,204
Arch,ISCA,2008,1,37,259
Arch,ISCA,2009,1,43,210
Arch,ISCA,2010,1,44,245
Arch,ISCA,2011,1,40,208
Arch,ISCA,2012,1,47,262
Arch,ISCA,2013,1,56,288
Arch,ISCA,2015,1,58,305
Arch,ISCA,2016,1,54,288
Arch,ISCA,2017,1,54,322
Arch,ISCA,2018,1,64,373
Arch,ISCA,2019,1,62,365
Arch,ISCA,2020,1,77,421
Arch,ISCA,2021,1,76,407
Arch,ISCA,2022,1,67,398
OS,EuroSys,2014,1,27,147
OS,EuroSys,2015,1,32,150
OS,EuroSys,2016,1,38,180
OS,EuroSys,2017,1,41,200
OS,EuroSys,2018,1,43,262
OS,EuroSys,2019,1,45,207
OS,EuroSys,2020,1,43,234
OS,EuroSys,2021,1,38,181
OS,EuroSys,2022,1,45,161
OS,FAST,2009,1,23,103
OS,FAST,2010,1,22,90
OS,FAST,2011,1,20,80
OS,FAST,2012,1,26,140
OS,FAST,2013,1,24,129
OS,FAST,2014,1,24,138
OS,FAST,2015,1,28,133
OS,FAST,2016,1,27,115
OS,FAST,2017,1,28,118
OS,FAST,2018,1,23,140
OS,FAST,2019,1,26,145
OS,FAST,2020,1,23,138
OS,FAST,2021,1,28,130
OS,FAST,2022,1,28,130
OS,OSDI,1994,1,21,178
OS,OSDI,1996,1,19,110
OS,OSDI,1999,1,20,96
OS,OSDI,2000,1,24,111
OS,OSDI,2002,1,0,0
OS,OSDI,2004,1,27,193
OS,OSDI,2006,1,27,150
OS,OSDI,2008,1,26,193
OS,OSDI,2010,1,32,199
OS,OSDI,2012,1,25,215
OS,OSDI,2014,1,42,228
OS,OSDI,2016,1,47,267
OS,OSDI,2018,1,47,257
OS,OSDI,2020,1,70,398
OS,OSDI,2021,1,31,165
OS,OSDI,2022,1,49,251
OS,SOSP,2001,1,17,85
OS,SOSP,2003,1,22,128
OS,SOSP,2005,1,20,155
OS,SOSP,2007,1,25,131
OS,SOSP,2009,1,23,139
OS,SOSP,2011,1,28,157
OS,SOSP,2013,1,30,157
OS,SOSP,2015,1,30,188
OS,SOSP,2017,1,39,241
OS,SOSP,2019,1,38,276
OS,SOSP,2021,1,54,348
OS,USENIX-ATC,2010,1,24,149
OS,USENIX-ATC,2011,1,36,180
OS,USENIX-ATC,2012,1,41,235
OS,USENIX-ATC,2013,1,33,235
OS,USENIX-ATC,2014,1,44,254
OS,USENIX-ATC,2015,1,47,226
OS,USENIX-ATC,2016,1,47,266
OS,USENIX-ATC,2017,1,60,283
OS,USENIX-ATC,2018,1,79,378
OS,USENIX-ATC,2019,1,71,352
OS,USENIX-ATC,2020,1,65,348
OS,USENIX-ATC,2021,1,64,341
PL,CC,2013,1,13,53
PL,CC,2014,1,14,47
PL,CC,2015,1,11,34
PL,CC,2016,1,24,77
PL,CC,2017,1,13,53
PL,CC,2018,1,18,53
PL,CC,2019,1,18,45
PL,CC,2020,1,19,43
PL,CC,2021,1,14,37
PL,CC,2022,1,20,62
PL,CC,2023,1,21,53
PL,ICFP,1996,1,25,83
PL,ICFP,1997,1,25,78
PL,ICFP,1998,1,30,77
PL,ICFP,1999,1,25,81
PL,ICFP,2000,1,24,110
PL,ICFP,2001,1,23,66
PL,ICFP,2002,1,24,76
PL,ICFP,2003,1,24,95
PL,ICFP,2004,1,21,80
PL,ICFP,2005,1,26,87
PL,ICFP,2006,1,24,74
PL,ICFP,2007,1,26,103
PL,ICFP,2008,1,35,99
PL,ICFP,2009,1,26,85
PL,ICFP,2010,1,33,99
PL,ICFP,2011,1,33,92
PL,ICFP,2012,1,32,88
PL,ICFP,2013,1,40,133
PL,ICFP,2014,1,28,85
PL,ICFP,2015,1,35,119
PL,ICFP,2016,1,37,115
PL,ICFP,2017,1,44,127
PL,ICFP,2018,1,40,118
PL,ICFP,2019,1,39,119
PL,ICFP,2020,1,37,98
PL,ICFP,2021,1,35,106
PL,ICFP,2022,1,35,102
PL,ISMM,2000,1,18,39
PL,ISMM,2002,1,17,41
PL,ISMM,2004,1,15,43
PL,ISMM,2006,1,16,45
PL,ISMM,2009,1,15,32
PL,ISMM,2010,1,13,30
PL,ISMM,2011,1,13,24
PL,ISMM,2012,1,12,30
PL,ISMM,2013,1,11,22
PL,ISMM,2014,1,11,22
PL,ISMM,2015,1,12,25
PL,ISMM,2016,1,12,23
PL,ISMM,2017,1,11,26
PL,ISMM,2018,1,9,21
PL,ISMM,2019,1,11,25
PL,ISMM,2020,1,8,14
PL,ISMM,2021,1,8,14
PL,ISMM,2022,1,4,7
PL,OOPSLA,1999,1,30,152
PL,OOPSLA,2000,1,26,142
PL,OOPSLA,2001,1,27,145
PL,OOPSLA,2002,1,25,125
PL,OOPSLA,2003,1,26,147
PL,OOPSLA,2004,1,27,173
PL,OOPSLA,2005,1,32,174
PL,OOPSLA,2006,1,26,157
PL,OOPSLA,2007,1,33,156
PL,OOPSLA,2008,1,33,117
PL,OOPSLA,2009,1,25,144
PL,OOPSLA,2010,1,45,164
PL,OOPSLA,2011,1,61,166
PL,OOPSLA,2012,1,59,228
